City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,hamilton,39.1834,-84.5333,20.41,87,2,0.89,US,1687869865
268,latakia,35.5148,35.7768,25.27,75,0,5.71,SY,1687869540
269,haiku-pauwela,20.9219,-156.3051,23.36,92,41,3.58,US,1687870130
270,umluj,25.0213,37.2685,31.01,61,0,5.47,SA,1687870130
271,dawei,14.0833,98.2,26.09,88,36,0.9,MM,1687870130
272,happy valley-goose bay,53.3168,-60.3315,19.68,41,95,6.04,CA,1687870131
273,namtsy,62.7161,129.6658,17.46,90,100,1.03,RU,1687870131
274,punta arenas,-53.15,-70.9167,0.62,86,100,3.27,CL,1687870131
275,pekanbaru,0.5333,101.45,24.43,96,100,0.77,ID,1687870131
276,kerikeri,-35.2268,173.9474,9.14,93,15,2.79,NZ,1687870131
277,miri,4.4148,114.0089,27.47,79,85,2.35,MY,1687870131
278,minas de marcona,-15.2119,-75.1103,11.99,81,58,4.3,PE,1687870131
279,i-n-salah,27.1935,2.4607,43.29,7,100,3.88,DZ,1687870131
280,tacuarembo,-31.7333,-55.9833,19.36,92,100,2.35,UY,1687870131
281,ribeira brava,32.65,-17.0667,34.51,26,0,5.82,PT,1687869860
282,san juan del sur,11.2529,-85.8705,25.81,84,97,0.63,NI,1687870131
283,wawarsing,41.759,-74.3574,21.71,99,100,1.4,US,1687870131
284,dudinka,69.4058,86.1778,15.9,43,81,2.52,RU,1687870132
285,corn island,12.1694,-83.0418,27.71,73,100,3.22,NI,1687870132
286,titusville,28.6122,-80.8075,28.5,84,0,0.89,US,1687869848
287,tazacorte,28.629,-17.9293,25.08,82,15,2.68,ES,1687870132
288,minas,-34.3759,-55.2377,12.04,72,100,2.92,UY,1687869997
289,ndele,8.4109,20.6473,28.67,65,67,0.66,CF,1687870132
290,center line,42.485,-83.0277,18.3,89,100,1.79,US,1687870132
291,savanna-la-mar,18.219,-78.1332,28.29,69,100,1.12,JM,1687870132
292,mejit,10.2753,170.8646,27.82,82,100,8.9,MH,1687870132
293,madera,37.1666,-119.8343,19.02,66,94,1.15,US,1687870099
294,yeed,4.55,43.0333,30.92,38,100,8.84,SO,1687870132
295,sitka,57.0531,-135.33,12.51,97,100,0.73,US,1687870132
296,koch'ang,35.4333,126.7,21.92,93,82,3.34,KR,1687870132
297,isangel,-19.55,169.2667,20.12,67,6,2.18,VU,1687870132
298,santana do matos,-5.9575,-36.6556,29.21,52,95,6.54,BR,1687870133
299,alo,7.4178,6.7371,30.26,72,100,0.72,NG,1687870133
300,dakhla,23.6848,-15.958,22.16,80,1,4.4,EH,1687870133
301,mahina,-17.5065,-149.489,23.75,78,29,9.65,PF,1687870133
302,nova sintra,14.8667,-24.7167,20.91,76,42,3.75,CV,1687870133
303,pacocha,-17.5833,-71.3333,16.97,78,13,1.59,PE,1687870133
304,dingwall,57.5953,-4.4272,16.06,88,100,2.0,GB,1687870133
305,bamboo flat,11.7,92.7167,28.38,82,100,4.07,IN,1687870133
306,howrah,22.5892,88.3103,28.28,81,100,5.76,IN,1687870005
307,usinsk,65.9939,57.5281,10.61,82,100,4.45,RU,1687870133
308,amahai,-3.3333,128.9167,29.44,89,67,0.99,ID,1687870133
309,kankaanpaa,61.8,22.4167,23.47,46,63,1.67,FI,1687870133
310,tulum,20.2167,-87.4667,27.32,85,65,1.45,MX,1687870133
311,naryn,41.4287,75.9911,22.72,29,25,6.15,KG,1687870134
312,ust-nera,64.5667,143.2,19.44,68,68,2.82,RU,1687870134
313,koulikoro,14.0,-7.75,32.22,44,100,1.67,ML,1687870134
314,kuala belait,4.5833,114.1833,27.2,80,83,2.49,BN,1687870134
315,trebic,49.2149,15.8817,22.22,63,100,1.34,CZ,1687870134
316,abatskoye,56.2875,70.4555,12.43,94,100,8.97,RU,1687870134
317,fraserburgh,57.6874,-2.0184,13.21,91,100,7.46,GB,1687870134
318,mabaruma,8.2,-59.7833,29.07,66,79,2.11,GY,1687870134
319,severo-yeniseyskiy,60.3725,93.0408,14.19,57,18,2.27,RU,1687870134
320,arar,30.9753,41.0381,40.1,6,0,6.56,SA,1687870134
321,willows,39.5243,-122.1936,16.77,76,0,0.59,US,1687870134
322,kulhudhuffushi,6.6221,73.07,28.09,73,100,5.4,MV,1687870134
323,san patricio,28.017,-97.5169,27.73,86,14,4.58,US,1687870135
324,geraldton,-28.7667,114.6,12.99,54,0,5.18,AU,1687870135
325,divo,5.8397,-5.36,26.23,67,100,2.0,CI,1687870135
326,uruzgan,32.8333,66.0,33.76,9,0,6.1,AF,1687870135
327,gwadar,25.1216,62.3254,30.88,72,100,4.09,PK,1687870135
328,dondo,-19.6094,34.7431,25.29,40,6,4.06,MZ,1687870135
329,flin flon,54.7682,-101.865,14.46,70,100,2.82,CA,1687870135
330,beni mellal,32.3373,-6.3498,41.8,8,3,4.28,MA,1687870135
331,utete,-7.986,38.758,30.77,32,2,1.93,TZ,1687870135
332,banchory,57.0517,-2.4882,15.75,88,100,2.61,GB,1687870135
333,sodra sandby,56.5667,16.6167,14.94,92,100,4.2,SE,1687870135
334,alpine,32.835,-116.7664,13.38,80,0,0.4,US,1687870135
335,ikungi,-5.1333,34.7667,25.51,34,100,1.54,TZ,1687870135
336,nizhniy kuranakh,58.8353,125.4869,20.46,75,0,1.25,RU,1687870136
337,mahibadhoo,3.7833,72.9667,28.6,72,100,4.92,MV,1687870136
338,tazovsky,67.4667,78.7,11.97,60,92,4.29,RU,1687870136
339,bikenibeu village,1.3673,173.1241,26.94,81,97,3.52,KI,1687870136
340,tatsinskiy,48.1968,41.2756,24.39,56,93,4.87,RU,1687870136
